,id,user_edad,car_marca,car_modelo,car_tipo,car_kilometraje,car_transmision,car_plataforma,deduccion_deduccion_kilometraje,deduccion_tipo_vehiculo,deduccion_mecanica,deduccion_carroceria,deduccion_suspension,deduccion_neumaticos,deduccion_cristales,deduccion_tenencias,deduccion_infracciones,deduccion_propietario,deduccion_extemporanea,deduccion_totalDescuentos,ajuste_monto_solicitado_cliente,ajuste_precio_guia_autometrica,ajuste_valor_avaluo,ajuste_tipo_vehiculo,ajuste_avaluo_km,ajuste_avaluo_ajustado,ajuste_avaluo_tipo_vehiculo,ajuste_multas,ajuste_tramites,ajuste_averia_estetica_mecanica,ajuste_monto_prestar,ajuste_margen_favor
0,1,26.0,FIAT,2023,Mazda 3,12000,manual,no,0.0,0,0.0,0.0,0,0.0,95276.0,0.0,0.0,2362.0,0.0,97638,1,400000,280000,,0,280000,0,0,2362,95276,182362,182361
1,6,34.34259911881257,Chrysler,2018,JEEP GRAND CHEROKEE  LIMITED LUJO V6 4X2,70000,automatica,no,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,519100,519100,363370,,0,363370,0,0,0,0,363370,-155730
2,7,32.0,Ford,2015,FIESTA,49878,automatica,no,0.0,35,,,0,,,,,,,0,65000,116200,81340,,0,52871,28469,0,0,0,52871,-12129
3,26,29.75795754175349,Kia,2016,SPORTAGE EX PACK,186000,manual,no,0.0,0,,,0,,,,,,,0,50000,238300,166810,,0,166810,0,0,0,0,166810,116810
4,42,34.73035333173988,Mazda,2015,MAZDA 3 I TOURING,80001,automatica,no,0.0,0,,,0,,,,,,,0,123900,177000,123899,,0,123899,0,0,0,0,123899,-1
5,44,41.0,Ford,2019,ESCAPE TREND ECOBOOST,101570,automatica,no,12.9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,182362,324000,226800,,41796,185004,0,0,0,0,185004,2642
6,51,52.0,Chevrolet,2013,SONIC LT,201000,manual,si,21.0,42,4000.0,6000.0,0,3600.0,0.0,0.0,0.0,0.0,0.0,13600,17000,113400,79380,,16669,29372,33339,0,0,13600,15772,-1228
7,83,34.9672537619757,Chevrolet,2014,AVEO LS 1.6 A/A,150300,manual,no,0.2,0,,,0,,,,,,,0,69000,89300,62509,,178,62331,0,0,0,0,62331,-6669
8,91,40.0,Ford,2015,FORD ECOSPORT 5p Trend L4/2.0 Aut,83000,automatica,no,0.0,35,,,0,,,,,,,0,112700,169600,118719,,0,77168,41551,0,0,0,77168,-35532
9,92,31.368357706114345,Nissan,2016,Nissan versa Advance estándar,106099,manual,no,0.0,0,,,0,,,,,,,0,1,145700,101990,,0,101990,0,0,0,0,101990,101989
10,93,31.28720272645937,Chevrolet,2019,CHEVROLET BEAT BASICO,111000,manual,no,21.0,0,,,0,,,,,,,0,1,123300,86310,,25893,60417,0,0,0,0,60417,60416
11,94,26.37093119325964,Volkswagen,2020,Volkswagen Vento Confortline plus,60000,manual,no,0.0,0,,,0,,,,,,,0,1,209300,146510,,0,146510,0,0,0,0,146510,146509
12,95,28.52635030032516,Nissan,2019,SENTRA Sense 1.8 automático 5 puertas,58000,automatica,no,0.0,0,,,0,,,,,,,0,1,199700,139790,,0,139790,0,0,0,0,139790,139789
13,96,27.776492943437272,Volkswagen,2019,"Volkswagen, Polo Design  & Sound L4/1.6",61000,manual,no,0.0,0,,,0,,,,,,,0,1,182400,127679,,0,127679,0,0,0,0,127679,127678
14,97,27.909823594126,Volkswagen,2019,Vw vento 2019 automatico trenline,67467,automatica,no,0.0,0,,,0,,,,,,,0,1,160100,112070,,0,112070,0,0,0,0,112070,112069
16,101,29.41980034968054,Mercedes-Benz,2013,MERCEDES GLK 300 CGI OFF ROAD NAVI,105000,automatica,no,0.0,0,,,0,,,,,,,0,1,219100,153370,,0,153370,0,0,0,0,153370,153369
17,102,32.53592949733888,Hyundai,2017,Hyundai creta Versión 1.6 5 puertas automatico,120000,automatica,no,7.5,0,,,0,,,,,,,0,1,170100,119069,,12757,106312,0,0,0,0,106312,106311
18,103,27.8259138695428,Honda,2013,"Honda CRV Version LX Kilómetraje 293,450 Km",293450,automatica,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
19,107,34.18751611502683,Suzuki,2019,Suzuki vitara Glx automática,47000,automatica,no,0.0,35,,,0,,,,,,,0,1,269900,188930,,0,122805,66125,0,0,0,122805,122804
20,108,48.0,Honda,2020,honda hrv UNIQ CVT 2020,64000,automatica,no,3.0,0,0.0,0.0,0,0.0,0.0,8219.0,11300.0,10000.0,2075.0,31594,1,300400,210280,,9012,201268,0,21594,10000,0,169674,169673
21,111,32.602311160007204,Kia,2017,KIA RIO SEDAN L t/M,150000,manual,si,21.0,42,,,0,,,,,,,0,1,148700,104090,,31227,29146,43717,0,0,0,29146,29145
22,112,27.64892611135971,Chevrolet,2019,beat - azul caribe 5PTS LT MANUAL AC RADIO BOLSAS DE AIRE ABS,70000,manual,no,0.0,0,,,0,,,,,,,0,1,136600,95620,,0,95620,0,0,0,0,95620,95619
23,113,45.0,Chevrolet,2019,BEAT HB PAQ B LT T/M,75297,manual,no,0.0,0,0.0,3500.0,0,0.0,0.0,9105.0,0.0,10000.0,2075.0,24680,37300,136600,95620,,0,95620,0,11180,10000,3500,70940,33640
24,114,27.989112428429507,Kia,2019,FORTE,40000,automatica,no,0.0,0,,,0,,,,,,,0,1,183900,128729,,0,128729,0,0,0,0,128729,128728
25,115,28.67220459614736,Jeep,2019,LINCOLN LIN AT CONTINENTAL AWD RESERV,40000,automatica,no,0.0,0,,,0,,,,,,,0,1,626000,438200,,0,438200,0,0,0,0,438200,438199
26,116,32.12665341826252,Ford,2020,EXPEDITION SP MIMITE V6 3.5,52000,automatica,no,0.0,0,,,0,,,,,,,0,1,861500,603050,,0,603050,0,0,0,0,603050,603049
27,117,26.093578661829493,Ford,2020,EXPEDITION SP LIMITE V6 3.5,52000,automatica,no,0.0,0,,,0,,,,,,,0,1,861500,603050,,0,603050,0,0,0,0,603050,603049
28,118,34.11533282457255,Ford,2013,Ford Fiestas 2013 SE,100000,manual,no,0.0,56,,,0,,,,,,,0,1,108900,76230,,0,33542,42688,0,0,0,33542,33541
29,119,26.72680679169712,Ford,2013,Ford Fiestas 2013 SE,100000,manual,no,0.0,56,,,0,,,,,,,0,1,108900,76230,,0,33542,42688,0,0,0,33542,33541
30,120,28.782333350739854,Jeep,2017,Grand Cherokee 4x4 equipada,71000,automatica,no,0.0,0,,,0,,,,,,,0,1,421200,294840,,0,294840,0,0,0,0,294840,294839
31,121,25.5806866504492,Jeep,2017,Grand Cherokee 4x4 equipada,71000,automatica,no,0.0,0,,,0,,,,,,,0,1,421200,294840,,0,294840,0,0,0,0,294840,294839
32,122,33.40409635144023,Nissan,2019,march sr,125000,manual,no,21.0,0,,,0,,,,,,,0,1,194700,136290,,40887,95403,0,0,0,0,95403,95402
33,125,33.52026795500438,Chevrolet,2016,EQUINOX LTZ,108000,automatica,no,0.0,0,,,0,,,,,,,0,1,240700,168490,,0,168490,0,0,0,0,168490,168489
34,126,30.86586780996192,Chevrolet,2016,EQUINOX LTZ,108000,automatica,no,0.0,0,,,0,,,,,,,0,1,240700,168490,,0,168490,0,0,0,0,168490,168489
35,127,31.06578338369291,Mazda,2017,mazda 3 hatchback  S grand touring,90000,manual,no,0.0,0,,,0,,,,,,,0,1,210500,147350,,0,147350,0,0,0,0,147350,147349
36,128,29.613173800408102,Mazda,2017,mazda 3 hatchback  S grand touring,90000,manual,no,0.0,0,,,0,,,,,,,0,1,210500,147350,,0,147350,0,0,0,0,147350,147349
37,129,52.0,Kia,2020,KIA NEW RIO 1.6 LX,22489,automatica,no,0.0,0,0.0,0.0,0,0.0,2500.0,27767.0,10040.0,0.0,2075.0,42382,1,204300,143010,,0,143010,0,39882,0,2500,100628,100627
38,130,34.9757230679694,Volkswagen,2021,vento comfortline,70000,manual,si,21.0,42,,,0,,,,,,,0,30000,226800,158760,,47628,44453,66679,0,0,0,44453,14453
39,133,33.01132897584922,Honda,2016,HONDA FIT FUN TM,125228,manual,no,0.0,0,,,0,,,,,,,0,1,163200,114240,,0,114240,0,0,0,0,114240,114239
40,134,27.01356633619569,Mercedes-Benz,2014,mercedes benz clase a180,125000,automatica,no,0.0,0,,,0,,,,,,,0,1,181497,127047,,0,127047,0,0,0,0,127047,127046
41,135,32.12063808211822,Volkswagen,2015,Amarok highline v4 4x4,182000,automatica,no,21.0,0,,,0,,,,,,,0,1,333800,233659,,70098,163561,0,0,0,0,163561,163560
42,136,34.52632492977531,Hyundai,2021,GRAND I10 DI,142323,manual,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
43,137,30.45398272403896,Hyundai,2021,GRAND I10 DI,142323,manual,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
44,138,26.603356868410373,Hyundai,2021,GRAND I10 DI,142323,manual,no,0.0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
45,139,27.848983071654065,Nissan,2017,Nissan Versa Sense At,141000,automatica,no,21.0,0,,,0,,,,,,,0,1,148900,104230,,31269,72961,0,0,0,0,72961,72960
46,140,28.419256677108923,Mercedes-Benz,2017,Versión C200 Sport 2.4,90000,automatica,no,0.0,0,,,0,,,,,,,0,1,339100,237369,,0,237369,0,0,0,0,237369,237368
47,141,31.416041654757105,Volkswagen,2013,JETTA MK VI SPORT,180000,manual,no,12.0,0,,,0,,,,,,,0,1,152400,106680,,18288,88392,0,0,0,0,88392,88391
48,142,52.0,Nissan,2014,NISSAN VERSA EXCLUSIVE  TA,169020,automatica,no,11.4,0,,,0,,,,,,,0,1,128800,90160,,14683,75477,0,0,0,0,75477,75476
49,143,21.0,Mazda,2017,mazda 3,117363,manual,si,6.5,56,0.0,1100.0,0,0.0,0.0,0.0,0.0,3500.0,0.0,4600,100000,242200,169540,,15743,58855,94942,0,3500,1100,54255,-45745
50,144,32.86166484157961,Hyundai,2018,grand i10 2018 hyundai hatchback,68500,manual,no,0.0,0,,,0,,,,,,,0,1,124900,87430,,0,87430,0,0,0,0,87430,87429
51,145,33.498175000963776,Nissan,2017,Nissan March Advance Std 1.6,110000,manual,si,3.8,42,,,0,,,,,,,0,1,140900,98630,,5354,51852,41424,0,0,0,51852,51851
52,146,30.92172320147482,Ford,2019,FORD F150 CABINA REGULAR 6CL AT,76350,automatica,no,0.0,0,,,0,,,,,,,0,200000,428500,299950,,0,299950,0,0,0,0,299950,99950
53,147,31.731027164917492,Volkswagen,2016,Volswagen up High up,120000,manual,no,0.0,0,,,0,,,,,,,0,1,117100,81970,,0,81970,0,0,0,0,81970,81969
54,148,26.328822838568886,Volkswagen,2013,SEAT IBIZA REFERENCE 5P 2.0,240000,manual,no,21.0,0,,,0,,,,,,,0,1,104800,73360,,22008,51352,0,0,0,0,51352,51351
